新增确诊,现有确诊,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊,累计治愈
5,91,8,8,0,4,1,7337
4,94,3,8,0,3,0,7329
10,93,3,8,0,4,1,7326
14,86,1,8,0,2,5,7323
6,73,2,8,0,4,1,7322
12,69,2,8,0,3,0,7320
8,59,2,8,0,0,1,7318
6,53,1,8,0,2,0,7316
3,48,0,8,0,0,0,7315
1,45,5,8,0,2,0,7315
6,49,1,8,0,0,0,7310
7,44,5,8,0,0,0,7309
6,42,2,8,0,0,0,7304
5,38,5,8,0,0,0,7302
8,38,3,8,0,0,0,7297
3,33,3,8,0,0,0,7294
3,33,2,8,0,0,0,7291
2,32,1,8,0,0,0,7289
3,31,1,8,0,0,0,7288
4,29,4,8,0,0,0,7287
1,29,2,8,0,0,0,7283
3,30,3,8,0,0,0,7281
1,30,6,8,0,0,0,7278
4,35,2,8,0,0,0,7272
4,33,3,8,0,0,0,7270
2,32,4,8,0,0,0,7267
2,34,4,8,0,0,0,7263
2,36,9,8,0,0,0,7259
5,43,8,8,0,0,0,7250
4,46,5,8,0,0,0,7242
1,47,10,8,0,0,0,7237
2,56,12,8,0,0,0,7227
1,66,6,8,0,0,0,7215
4,71,8,8,0,0,0,7209
2,75,17,8,0,0,0,7201
2,90,15,8,0,0,0,7184
1,103,4,8,0,1,0,7169
1,106,16,8,0,0,1,7165
4,121,13,8,0,2,0,7149
3,130,20,8,0,0,3,7136
3,147,13,8,0,1,1,7116
2,157,7,8,0,1,0,7103
2,162,19,8,0,0,0,7096
7,179,24,8,0,2,5,7077
2,196,15,8,0,0,1,7053
8,209,13,8,0,2,4,7038
12,214,11,8,0,3,11,7025
5,213,17,8,0,2,3,7014
12,225,6,8,0,10,10,6997
17,219,8,8,0,6,15,6991
35,210,9,8,0,12,28,6983
22,184,14,8,0,3,21,6974
10,176,10,8,0,1,8,6960
15,176,12,8,0,1,13,6950
16,173,11,8,0,6,13,6938
12,168,13,8,0,4,12,6927
9,169,20,8,0,5,7,6914
28,180,32,8,0,2,29,6894
21,184,13,8,0,7,21,6862
29,176,16,8,0,16,28,6849
10,163,19,8,0,7,7,6833
1,172,30,8,0,0,0,6814
1,201,35,8,0,0,0,6784
6,235,28,8,0,0,2,6749
5,257,17,8,0,0,3,6721
9,269,15,8,0,0,4,6704
11,275,17,8,0,2,8,6689
6,281,17,8,0,1,5,6672
9,292,12,8,0,4,8,6655
15,295,10,8,0,6,15,6643
24,290,12,8,0,5,20,6633
28,278,7,8,0,10,25,6621
32,257,8,8,0,11,29,6614
26,233,11,8,0,0,24,6606
24,218,11,8,0,0,22,6595
48,205,11,8,0,0,47,6584
26,168,24,8,0,0,22,6573
20,166,17,8,0,0,16,6549
22,163,16,8,0,0,19,6532
17,157,19,8,0,0,10,6516
9,159,21,8,0,0,5,6497
12,171,16,8,0,0,7,6476
1,175,31,8,0,0,0,6460
13,205,54,8,0,0,7,6429
8,246,64,8,0,0,3,6375
13,302,91,8,0,0,5,6311
12,380,66,8,0,0,2,6220
4,434,76,8,0,0,0,6154
6,506,84,8,0,0,4,6078
14,584,148,8,0,0,14,5994
15,718,87,8,0,0,2,5846
11,790,79,8,0,0,11,5759
10,858,60,8,0,0,4,5680
10,908,81,8,0,0,2,5620
11,979,67,8,0,0,4,5539
15,1035,83,8,0,0,4,5472
16,1103,36,8,0,0,8,5389
23,1123,69,8,0,0,15,5353
37,1169,129,8,0,0,25,5284
45,1261,152,8,0,0,38,5155
73,1368,97,8,0,0,51,5003
65,1392,380,8,0,0,47,4906
89,1707,156,8,0,0,74,4526
104,1774,90,8,0,0,83,4370
80,1760,54,8,0,0,59,4280
68,1734,35,8,0,0,48,4226
121,1701,26,8,0,0,79,4191
96,1606,48,8,0,0,62,4165
63,1558,27,8,0,0,33,4117
62,1522,0,8,0,0,11,4090
50,1460,56,8,0,0,17,4090
46,1466,33,8,0,0,7,4034
92,1453,17,8,0,0,45,4001
120,1378,21,8,0,0,69,3984
92,1279,16,8,0,0,20,3963
125,1203,14,8,0,0,46,3947
139,1092,26,8,0,0,22,3933
94,979,8,8,0,0,28,3907
115,893,8,8,0,0,32,3899
75,786,12,8,0,0,31,3891
93,723,9,8,0,0,40,3879
83,639,16,8,0,0,48,3870
89,572,16,8,0,0,30,3854
60,499,15,8,0,0,8,3838
52,454,11,8,0,0,8,3823
45,413,12,8,0,0,7,3812
25,380,7,8,0,0,3,3800
26,362,11,8,0,0,6,3793
40,347,10,8,0,0,8,3782
25,317,16,8,0,0,3,3772
25,308,12,8,0,0,4,3756
29,295,10,8,0,0,7,3744
27,276,17,8,0,0,3,3734
18,266,12,8,0,0,2,3717
28,260,7,8,0,0,28,3705
20,239,5,8,0,0,1,3698
24,224,10,8,0,0,0,3693
15,210,8,8,0,0,0,3683
9,203,6,8,0,0,0,3675
18,200,5,8,0,0,0,3669
18,187,9,8,0,0,0,3664
25,178,10,8,0,0,4,3655
8,163,11,8,0,0,1,3645
10,166,9,8,0,0,6,3634
13,165,10,8,0,0,5,3625
13,162,20,8,0,0,9,3615
11,169,23,8,0,0,6,3595
9,181,18,8,0,0,1,3572
7,190,21,8,0,0,0,3554
2,204,5,8,0,0,0,3533
6,207,5,8,0,0,0,3528
7,206,7,8,0,0,0,3523
3,206,11,8,0,0,3,3516
1,214,6,8,0,0,1,3505
2,219,7,8,0,0,2,3499
6,224,10,8,0,0,1,3492
8,228,10,8,0,0,3,3482
7,230,15,8,0,0,3,3472
14,238,8,8,0,0,4,3457
5,232,4,8,0,0,2,3449
9,231,13,8,0,0,7,3445
18,235,17,8,0,0,5,3432
17,234,7,8,0,0,9,3415
15,224,8,8,0,0,1,3408
13,217,3,8,0,0,8,3400
10,207,5,8,0,0,0,3397
18,202,6,8,0,0,0,3392
27,190,5,8,0,0,0,3386
18,168,4,8,0,0,0,3381
9,154,2,8,0,0,0,3377
9,147,8,8,0,0,0,3375
9,146,6,8,0,0,0,3367
9,143,0,8,0,0,0,3361
10,134,3,8,0,0,0,3361
7,127,4,8,0,0,0,3358
13,124,2,8,0,0,0,3354
6,113,6,8,0,0,0,3352
