新增确诊,现有确诊,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊,累计治愈
6,28,0,8,0,0,0,1822
1,22,1,8,0,0,0,1822
3,22,6,8,0,0,0,1821
0,25,7,8,0,0,0,1815
2,32,0,8,0,0,0,1808
5,30,2,8,0,0,0,1808
1,27,2,8,0,0,0,1806
6,28,1,8,0,0,0,1804
5,23,4,8,0,0,0,1803
2,22,0,8,0,0,0,1799
0,20,3,8,0,0,0,1799
8,23,4,8,0,0,0,1796
5,19,7,8,0,0,0,1792
0,21,4,8,0,0,0,1789
2,21,0,8,0,0,0,1785
3,19,3,8,0,0,0,1785
2,19,2,8,0,0,0,1782
0,19,3,8,0,0,0,1780
4,22,3,8,0,0,0,1777
3,21,3,8,0,0,0,1774
3,21,3,8,0,0,0,1771
4,21,1,8,0,0,0,1768
6,18,3,8,0,0,0,1767
3,15,4,8,0,0,0,1764
1,16,3,8,0,0,0,1760
1,18,4,8,0,0,0,1757
4,21,5,8,0,0,0,1753
1,22,0,8,0,0,0,1748
1,21,3,8,0,0,0,1748
2,23,2,8,0,0,0,1745
4,23,0,8,0,0,0,1743
1,19,6,8,0,0,0,1743
0,24,2,8,0,0,0,1737
2,26,2,8,0,0,0,1735
4,26,6,8,0,0,0,1733
3,28,4,8,0,0,0,1727
2,29,1,8,0,0,0,1723
13,28,0,8,0,0,0,1722
3,15,1,8,0,0,0,1722
2,13,0,8,0,0,0,1721
2,11,3,8,0,0,0,1721
0,12,0,8,0,0,0,1718
1,12,2,8,0,0,0,1718
2,13,1,8,0,0,0,1716
1,12,11,8,0,0,0,1715
0,22,0,8,0,0,0,1704
4,22,2,8,0,0,0,1704
3,20,1,8,0,0,0,1702
0,18,2,8,0,0,0,1701
2,20,3,8,0,0,0,1699
0,21,1,8,0,0,0,1696
0,22,8,8,0,0,0,1695
0,30,0,8,0,0,0,1687
4,30,0,8,0,0,0,1687
1,26,3,8,0,0,0,1687
8,28,0,8,0,0,0,1684
3,20,1,8,0,0,0,1684
2,18,2,8,0,0,0,1683
0,18,3,8,0,0,0,1681
2,21,2,8,0,0,0,1678
6,21,4,8,0,0,0,1676
3,19,1,8,0,0,0,1672
3,17,2,8,0,0,0,1671
5,16,5,8,0,0,0,1669
1,16,3,8,0,0,0,1664
0,18,0,8,0,0,0,1661
0,18,2,8,0,0,0,1661
0,20,0,8,0,0,0,1659
4,20,2,8,0,0,0,1659
1,18,3,8,0,0,0,1657
2,20,1,8,0,0,0,1654
2,19,0,8,0,0,0,1653
3,17,2,8,0,0,0,1653
1,16,3,8,0,0,0,1651
2,18,3,8,0,0,0,1648
0,19,0,8,0,0,0,1645
0,19,3,8,0,0,0,1645
3,22,1,8,0,0,0,1642
2,20,2,8,0,0,0,1641
5,20,2,8,0,0,0,1639
1,17,0,8,0,0,0,1637
2,16,0,8,0,0,0,1637
0,14,0,8,0,0,0,1637
0,14,1,8,0,0,0,1637
2,15,0,8,0,0,0,1636
3,13,0,8,0,0,0,1636
4,10,0,8,0,0,0,1636
0,6,0,8,0,0,0,1636
0,6,1,8,0,0,0,1636
0,7,1,8,0,0,0,1635
2,8,0,8,0,0,0,1634
0,6,0,8,0,0,0,1634
1,6,0,8,0,0,0,1634
0,5,3,8,0,0,0,1634
2,8,0,8,0,0,0,1631
1,6,0,8,0,0,0,1631
1,5,0,8,0,0,0,1631
0,4,0,8,0,0,0,1631
0,4,2,8,0,0,0,1631
1,6,2,8,0,0,0,1629
0,7,0,8,0,0,0,1627
1,7,0,8,0,0,0,1627
0,6,0,8,0,0,0,1627
4,6,2,8,0,0,0,1627
0,4,3,8,0,0,0,1625
0,7,0,8,0,0,0,1622
2,7,1,8,0,0,0,1622
1,6,1,8,0,0,0,1621
0,6,1,8,0,0,0,1620
0,7,0,8,0,0,0,1619
0,7,5,8,0,0,0,1619
0,12,0,8,0,0,0,1614
0,12,1,8,0,0,0,1614
3,13,9,8,0,0,0,1613
3,19,1,8,0,0,0,1604
0,17,10,8,0,0,0,1603
0,27,1,8,0,0,0,1593
3,28,2,8,0,0,0,1592
0,27,0,8,0,0,0,1590
17,27,0,8,0,0,0,1590
1,10,1,8,0,0,0,1590
0,10,1,8,0,0,0,1589
3,11,1,8,0,0,0,1588
0,9,1,8,0,0,0,1587
2,10,1,8,0,0,0,1586
1,9,1,8,0,0,0,1585
0,9,0,8,0,0,0,1584
3,9,0,8,0,0,0,1584
1,6,1,8,0,0,0,1584
1,6,0,8,0,0,0,1583
1,5,0,8,0,0,0,1583
0,4,0,8,0,0,0,1583
2,4,0,8,0,0,0,1583
0,2,0,8,0,0,0,1583
1,2,1,8,0,0,0,1583
0,2,0,8,0,0,0,1582
0,2,1,8,0,0,0,1582
0,3,0,8,0,0,0,1581
0,3,0,8,0,0,0,1581
0,3,1,8,0,0,0,1581
1,4,0,8,0,0,0,1580
0,3,0,8,0,0,0,1580
1,3,1,8,0,0,0,1580
0,3,0,8,0,0,0,1579
0,3,0,8,0,0,0,1579
0,3,0,8,0,0,0,1579
0,3,0,8,0,0,0,1579
0,3,0,8,0,0,0,1579
0,2,0,8,0,0,0,1579
0,2,0,8,0,0,0,1579
0,2,1,8,0,0,0,1579
0,3,0,8,0,0,0,1578
0,3,1,8,0,0,0,1578
0,4,1,8,0,0,0,1577
0,5,0,8,0,0,0,1576
0,5,1,8,0,0,0,1576
0,6,0,8,0,0,0,1575
1,6,0,8,0,0,0,1575
0,5,4,8,0,0,0,1575
0,9,2,8,0,0,0,1571
0,11,2,8,0,0,0,1569
0,13,0,8,0,0,0,1567
0,13,2,8,0,0,0,1567
0,15,8,8,0,0,0,1565
0,23,3,8,0,0,0,1557
1,26,7,8,0,0,0,1554
0,32,5,8,0,0,0,1547
1,37,0,8,0,0,0,1542
1,36,8,8,0,0,0,1542
0,43,6,8,0,0,0,1534
1,49,10,8,0,0,0,1528
2,58,7,8,0,0,0,1518
0,63,10,8,0,0,0,1511
1,73,7,8,0,0,0,1501
1,79,4,8,0,0,0,1494
1,82,8,8,0,0,0,1490
2,89,7,8,0,0,0,1482
6,94,4,8,0,0,0,1475
5,92,9,8,0,0,0,1471
2,96,4,8,0,0,0,1462
6,98,4,8,0,0,0,1458
3,93,11,8,0,0,0,1454
4,101,6,8,0,0,0,1443
4,103,3,8,0,0,0,1437
5,102,11,8,0,0,0,1434
3,108,12,8,0,0,0,1423
3,117,10,8,0,0,0,1411
1,124,6,8,0,0,0,1401
7,129,8,8,0,0,0,1395
8,129,9,8,0,0,0,1387
2,130,10,8,0,0,0,1378
6,138,12,8,0,0,0,1368
6,143,-1,8,0,0,0,1356
9,136,4,8,0,0,0,1357
6,129,2,8,0,0,0,1353
9,125,2,8,0,0,0,1351
8,118,8,8,0,0,0,1349
11,118,4,8,0,0,0,1341
12,111,1,8,0,0,0,1337
11,100,2,8,0,0,0,1336
5,91,1,8,0,0,0,1334
15,87,1,8,0,0,0,1333
6,73,3,8,0,0,0,1332
8,70,4,8,0,0,0,1329
7,66,3,8,0,0,0,1325
14,62,4,8,0,0,0,1322
9,52,6,8,0,0,0,1318
5,49,5,8,0,0,0,1312
3,49,1,8,0,0,0,1307
4,47,3,8,0,0,0,1306
1,46,4,8,0,0,0,1303
0,49,3,8,0,0,0,1299
0,52,8,8,0,0,0,1296
3,60,6,8,0,0,0,1288
0,63,12,8,0,0,0,1282
1,75,10,8,0,0,0,1270
0,84,10,8,1,0,0,1260
0,95,17,7,0,0,0,1250
1,112,24,7,0,0,0,1233
1,135,50,7,0,0,0,1209
0,184,30,7,0,0,0,1159
0,214,48,7,0,0,0,1129
0,262,47,7,0,0,0,1081
1,309,25,7,0,0,0,1034
0,333,37,7,0,0,0,1009
1,370,53,7,0,0,0,972
1,422,46,7,0,0,0,919
0,467,32,7,0,0,0,873
0,499,36,7,0,0,0,841
2,535,33,7,1,0,0,805
3,567,32,6,0,0,0,772
3,596,20,6,1,0,0,740
6,614,56,5,0,0,0,720
1,664,45,5,0,0,0,664
1,708,48,5,0,0,0,619
3,755,41,5,1,0,0,571
6,794,57,4,0,0,0,530
6,845,37,4,2,0,0,473
22,878,50,2,0,0,0,436
33,906,54,2,0,0,0,386
20,927,48,2,0,0,0,332
22,955,43,2,1,0,0,284
42,977,60,1,0,0,0,241
26,995,38,1,0,0,0,181
31,1007,18,1,0,0,0,143
45,994,28,1,0,0,0,125
57,977,28,1,0,0,0,97
74,948,20,1,1,0,0,69
74,895,17,0,0,0,0,49
73,838,11,0,0,0,0,32
114,776,6,0,0,0,0,21
79,668,1,0,0,0,0,15
84,590,3,0,0,0,0,14
127,509,2,0,0,0,0,11
82,384,3,0,0,0,0,9
70,305,1,0,0,0,0,6
53,236,1,0,0,0,0,5
42,184,2,0,0,0,0,4
48,144,0,0,0,0,0,2
20,96,0,0,0,0,0,2
25,76,0,0,0,0,0,2
21,51,2,0,0,0,0,2
6,32,0,0,0,0,0,0
12,26,0,0,0,0,0,0
13,14,0,0,0,0,0,0
0,1,0,0,0,0,0,0
