新增确诊,现有确诊,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊,累计确诊
4,35,8,8,0,0,0,1908
0,39,0,8,0,0,0,1904
9,39,9,8,0,0,0,1904
0,39,0,8,0,0,0,1895
3,39,4,8,0,0,0,1895
3,40,3,8,0,0,0,1892
5,40,1,8,0,0,0,1889
3,36,8,8,0,0,0,1884
4,41,0,8,0,0,0,1881
2,37,1,8,0,0,0,1877
6,36,5,8,0,0,0,1875
0,35,0,8,0,0,0,1869
6,35,1,8,0,0,0,1869
2,30,2,8,0,0,0,1863
3,30,1,8,0,0,0,1861
6,28,0,8,0,0,0,1858
1,22,1,8,0,0,0,1852
3,22,6,8,0,0,0,1851
0,25,7,8,0,0,0,1848
2,32,0,8,0,0,0,1848
5,30,2,8,0,0,0,1846
1,27,2,8,0,0,0,1841
6,28,1,8,0,0,0,1840
5,23,4,8,0,0,0,1834
2,22,0,8,0,0,0,1829
0,20,3,8,0,0,0,1827
8,23,4,8,0,0,0,1827
5,19,7,8,0,0,0,1819
0,21,4,8,0,0,0,1814
2,21,0,8,0,0,0,1814
3,19,3,8,0,0,0,1812
2,19,2,8,0,0,0,1809
0,19,3,8,0,0,0,1807
4,22,3,8,0,0,0,1807
3,21,3,8,0,0,0,1803
3,21,3,8,0,0,0,1800
4,21,1,8,0,0,0,1797
6,18,3,8,0,0,0,1793
3,15,4,8,0,0,0,1787
1,16,3,8,0,0,0,1784
1,18,4,8,0,0,0,1783
4,21,5,8,0,0,0,1782
1,22,0,8,0,0,0,1778
1,21,3,8,0,0,0,1777
2,23,2,8,0,0,0,1776
4,23,0,8,0,0,0,1774
1,19,6,8,0,0,0,1770
0,24,2,8,0,0,0,1769
2,26,2,8,0,0,0,1769
4,26,6,8,0,0,0,1767
3,28,4,8,0,0,0,1763
2,29,1,8,0,0,0,1760
13,28,0,8,0,0,0,1758
3,15,1,8,0,0,0,1745
2,13,0,8,0,0,0,1742
2,11,3,8,0,0,0,1740
0,12,0,8,0,0,0,1738
1,12,2,8,0,0,0,1738
2,13,1,8,0,0,0,1737
1,12,11,8,0,0,0,1735
0,22,0,8,0,0,0,1734
4,22,2,8,0,0,0,1734
3,20,1,8,0,0,0,1730
0,18,2,8,0,0,0,1727
2,20,3,8,0,0,0,1727
0,21,1,8,0,0,0,1725
0,22,8,8,0,0,0,1725
0,30,0,8,0,0,0,1725
4,30,0,8,0,0,0,1725
1,26,3,8,0,0,0,1721
8,28,0,8,0,0,0,1720
3,20,1,8,0,0,0,1712
2,18,2,8,0,0,0,1709
0,18,3,8,0,0,0,1707
2,21,2,8,0,0,0,1707
6,21,4,8,0,0,0,1705
3,19,1,8,0,0,0,1699
3,17,2,8,0,0,0,1696
5,16,5,8,0,0,0,1693
1,16,3,8,0,0,0,1688
0,18,0,8,0,0,0,1687
0,18,2,8,0,0,0,1687
0,20,0,8,0,0,0,1687
4,20,2,8,0,0,0,1687
1,18,3,8,0,0,0,1683
2,20,1,8,0,0,0,1682
2,19,0,8,0,0,0,1680
3,17,2,8,0,0,0,1678
1,16,3,8,0,0,0,1675
2,18,3,8,0,0,0,1674
0,19,0,8,0,0,0,1672
0,19,3,8,0,0,0,1672
3,22,1,8,0,0,0,1672
2,20,2,8,0,0,0,1669
5,20,2,8,0,0,0,1667
1,17,0,8,0,0,0,1662
2,16,0,8,0,0,0,1661
0,14,0,8,0,0,0,1659
0,14,1,8,0,0,0,1659
2,15,0,8,0,0,0,1659
3,13,0,8,0,0,0,1657
4,10,0,8,0,0,0,1654
0,6,0,8,0,0,0,1650
0,6,1,8,0,0,0,1650
0,7,1,8,0,0,0,1650
2,8,0,8,0,0,0,1650
0,6,0,8,0,0,0,1648
1,6,0,8,0,0,0,1648
0,5,3,8,0,0,0,1647
2,8,0,8,0,0,0,1647
1,6,0,8,0,0,0,1645
1,5,0,8,0,0,0,1644
0,4,0,8,0,0,0,1643
0,4,2,8,0,0,0,1643
1,6,2,8,0,0,0,1643
0,7,0,8,0,0,0,1642
1,7,0,8,0,0,0,1642
0,6,0,8,0,0,0,1641
4,6,2,8,0,0,0,1641
0,4,3,8,0,0,0,1637
0,7,0,8,0,0,0,1637
2,7,1,8,0,0,0,1637
1,6,1,8,0,0,0,1635
0,6,1,8,0,0,0,1634
0,7,0,8,0,0,0,1634
0,7,5,8,0,0,0,1634
0,12,0,8,0,0,0,1634
0,12,1,8,0,0,0,1634
3,13,9,8,0,0,0,1634
3,19,1,8,0,0,0,1631
0,17,10,8,0,0,0,1628
0,27,1,8,0,0,0,1628
3,28,2,8,0,0,0,1628
0,27,0,8,0,0,0,1625
17,27,0,8,0,0,0,1625
1,10,1,8,0,0,0,1608
0,10,1,8,0,0,0,1607
3,11,1,8,0,0,0,1607
0,9,1,8,0,0,0,1604
2,10,1,8,0,0,0,1604
1,9,1,8,0,0,0,1602
0,9,0,8,0,0,0,1601
3,9,0,8,0,0,0,1601
1,6,1,8,0,0,0,1598
1,6,0,8,0,0,0,1597
1,5,0,8,0,0,0,1596
0,4,0,8,0,0,0,1595
2,4,0,8,0,0,0,1595
0,2,0,8,0,0,0,1593
1,2,1,8,0,0,0,1593
0,2,0,8,0,0,0,1592
0,2,1,8,0,0,0,1592
0,3,0,8,0,0,0,1592
0,3,0,8,0,0,0,1592
0,3,1,8,0,0,0,1592
1,4,0,8,0,0,0,1592
0,3,0,8,0,0,0,1591
1,3,1,8,0,0,0,1591
0,3,0,8,0,0,0,1590
0,3,0,8,0,0,0,1590
0,3,0,8,0,0,0,1590
0,3,0,8,0,0,0,1590
0,3,0,8,0,0,0,1590
0,2,0,8,0,0,0,1589
0,2,0,8,0,0,0,1589
0,2,1,8,0,0,0,1589
0,3,0,8,0,0,0,1589
0,3,1,8,0,0,0,1589
0,4,1,8,0,0,0,1589
0,5,0,8,0,0,0,1589
0,5,1,8,0,0,0,1589
0,6,0,8,0,0,0,1589
1,6,0,8,0,0,0,1589
0,5,4,8,0,0,0,1588
0,9,2,8,0,0,0,1588
0,11,2,8,0,0,0,1588
0,13,0,8,0,0,0,1588
0,13,2,8,0,0,0,1588
0,15,8,8,0,0,0,1588
0,23,3,8,0,0,0,1588
1,26,7,8,0,0,0,1588
0,32,5,8,0,0,0,1587
1,37,0,8,0,0,0,1587
1,36,8,8,0,0,0,1586
0,43,6,8,0,0,0,1585
1,49,10,8,0,0,0,1585
2,58,7,8,0,0,0,1584
0,63,10,8,0,0,0,1582
1,73,7,8,0,0,0,1582
1,79,4,8,0,0,0,1581
1,82,8,8,0,0,0,1580
2,89,7,8,0,0,0,1579
6,94,4,8,0,0,0,1577
5,92,9,8,0,0,0,1571
2,96,4,8,0,0,0,1566
6,98,4,8,0,0,0,1564
3,93,11,8,0,0,0,1555
4,101,6,8,0,0,0,1552
4,103,3,8,0,0,0,1548
5,102,11,8,0,0,0,1544
3,108,12,8,0,0,0,1539
3,117,10,8,0,0,0,1536
1,124,6,8,0,0,0,1533
7,129,8,8,0,0,0,1532
8,129,9,8,0,0,0,1524
2,130,10,8,0,0,0,1516
6,138,12,8,0,0,0,1514
6,143,-1,8,0,0,0,1507
9,136,4,8,0,0,0,1501
6,129,2,8,0,0,0,1490
9,125,2,8,0,0,0,1484
8,118,8,8,0,0,0,1475
11,118,4,8,0,0,0,1467
12,111,1,8,0,0,0,1456
11,100,2,8,0,0,0,1444
5,91,1,8,0,0,0,1433
15,87,1,8,0,0,0,1428
6,73,3,8,0,0,0,1413
8,70,4,8,0,0,0,1407
7,66,3,8,0,0,0,1399
14,62,4,8,0,0,0,1392
9,52,6,8,0,0,0,1378
5,49,5,8,0,0,0,1369
3,49,1,8,0,0,0,1364
4,47,3,8,0,0,0,1361
1,46,4,8,0,0,0,1357
0,49,3,8,0,0,0,1356
0,52,8,8,0,0,0,1356
3,60,6,8,0,0,0,1356
0,63,12,8,0,0,0,1353
1,75,10,8,0,0,0,1353
0,84,10,8,1,0,0,1352
0,95,17,7,0,0,0,1352
1,112,24,7,0,0,0,1352
1,135,50,7,0,0,0,1351
0,184,30,7,0,0,0,1350
0,214,48,7,0,0,0,1350
0,262,47,7,0,0,0,1350
1,309,25,7,0,0,0,1350
0,333,37,7,0,0,0,1349
1,370,53,7,0,0,0,1349
1,422,46,7,0,0,0,1348
0,467,32,7,0,0,0,1347
0,499,36,7,0,0,0,1347
2,535,33,7,1,0,0,1347
3,567,32,6,0,0,0,1345
3,596,20,6,1,0,0,1342
6,614,56,5,0,0,0,1339
1,664,45,5,0,0,0,1333
1,708,48,5,0,0,0,1332
3,755,41,5,1,0,0,1331
6,794,57,4,0,0,0,1328
6,845,37,4,2,0,0,1322
22,878,50,2,0,0,0,1316
33,906,54,2,0,0,0,1294
20,927,48,2,0,0,0,1261
22,955,43,2,1,0,0,1241
42,977,60,1,0,0,0,1219
26,995,38,1,0,0,0,1177
31,1007,18,1,0,0,0,1151
45,994,28,1,0,0,0,1120
57,977,28,1,0,0,0,1075
74,948,20,1,1,0,0,1018
74,895,17,0,0,0,0,944
73,838,11,0,0,0,0,870
114,776,6,0,0,0,0,797
79,668,1,0,0,0,0,683
84,590,3,0,0,0,0,604
127,509,2,0,0,0,0,520
82,384,3,0,0,0,0,393
70,305,1,0,0,0,0,311
53,236,1,0,0,0,0,241
42,184,2,0,0,0,0,188
48,144,0,0,0,0,0,146
20,96,0,0,0,0,0,98
25,76,0,0,0,0,0,78
21,51,2,0,0,0,0,53
6,32,0,0,0,0,0,32
12,26,0,0,0,0,0,26
13,14,0,0,0,0,0,14
0,1,0,0,0,0,0,1
