,﻿省份,累计确诊,新增确诊,现有确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
119,广东,8781,30,374,8399,32,8,0,5,17
120,广东,8751,24,376,8367,24,8,0,1,7
121,广东,8727,26,376,8343,20,8,0,11,9
122,广东,8701,18,370,8323,34,8,0,9,18
123,广东,8683,18,386,8289,21,8,0,7,5
124,广东,8665,15,389,8268,16,8,0,1,6
125,广东,8650,13,390,8252,27,8,0,2,3
126,广东,8637,23,404,8225,18,8,0,2,6
127,广东,8614,12,399,8207,24,8,0,8,9
128,广东,8602,27,411,8183,18,8,0,4,12
129,广东,8575,27,402,8165,23,8,0,1,12
130,广东,8548,25,398,8142,23,8,0,11,12
131,广东,8523,41,396,8119,14,8,0,14,15
132,广东,8482,52,369,8105,12,8,0,5,24
133,广东,8430,59,329,8093,18,8,0,7,39
134,广东,8371,41,288,8075,21,8,0,13,24
135,广东,8330,55,268,8054,22,8,0,6,37
136,广东,8275,31,235,8032,15,8,0,5,12
137,广东,8244,22,219,8017,44,8,0,2,11
138,广东,8222,15,241,7973,25,8,0,0,1
139,广东,8207,29,251,7948,27,8,0,0,0
140,广东,8178,19,249,7921,25,8,0,1,0
141,广东,8159,30,255,7896,39,8,0,1,0
142,广东,8129,20,264,7857,25,8,0,1,1
143,广东,8109,10,269,7832,24,8,0,2,1
144,广东,8099,7,283,7808,16,8,0,2,1
145,广东,8092,14,292,7792,29,8,0,3,3
146,广东,8078,14,307,7763,27,8,0,8,4
147,广东,8064,21,320,7736,31,8,0,4,3
148,广东,8043,25,330,7705,36,8,0,17,6
149,广东,8018,30,341,7669,29,8,0,13,11
150,广东,7988,24,340,7640,31,8,0,10,11
151,广东,7964,31,347,7609,16,8,0,9,23
152,广东,7933,43,332,7593,25,8,0,13,10
153,广东,7890,29,314,7568,16,8,0,6,18
154,广东,7861,37,301,7552,10,8,0,8,20
155,广东,7824,14,274,7542,38,8,0,9,5
156,广东,7810,31,298,7504,11,8,0,10,4
157,广东,7779,31,278,7493,14,8,0,9,21
158,广东,7748,25,261,7479,13,8,0,26,15
159,广东,7723,28,249,7466,15,8,0,39,17
160,广东,7695,44,236,7451,5,8,0,11,32
161,广东,7651,25,197,7446,12,8,0,6,16
162,广东,7626,33,184,7434,6,8,0,20,22
163,广东,7593,27,157,7428,12,8,0,15,17
164,广东,7566,28,142,7416,6,8,0,8,17
165,广东,7538,18,120,7410,6,8,0,2,6
166,广东,7520,19,108,7404,9,8,0,4,3
167,广东,7501,7,98,7395,2,8,0,2,2
168,广东,7494,9,93,7393,8,8,0,1,0
169,广东,7485,12,92,7385,9,8,0,2,1
170,广东,7473,10,89,7376,6,8,0,0,1
171,广东,7463,5,85,7370,4,8,0,0,0
172,广东,7458,10,84,7366,9,8,0,1,0
173,广东,7448,2,83,7357,6,8,0,2,0
174,广东,7446,3,87,7351,8,8,0,2,2
175,广东,7443,7,92,7343,6,8,0,2,1
176,广东,7436,5,91,7337,8,8,0,4,1
177,广东,7431,4,94,7329,3,8,0,3,0
178,广东,7427,10,93,7326,3,8,0,4,1
179,广东,7417,14,86,7323,1,8,0,2,5
180,广东,7403,6,73,7322,2,8,0,4,1
181,广东,7397,12,69,7320,2,8,0,3,0
182,广东,7385,8,59,7318,2,8,0,0,1
183,广东,7377,6,53,7316,1,8,0,2,0
184,广东,7371,3,48,7315,0,8,0,0,0
185,广东,7368,1,45,7315,5,8,0,2,0
186,广东,7367,6,49,7310,1,8,0,0,0
187,广东,7361,7,44,7309,5,8,0,0,0
188,广东,7354,6,42,7304,2,8,0,0,0
189,广东,7348,5,38,7302,5,8,0,0,0
190,广东,7343,8,38,7297,3,8,0,0,0
191,广东,7335,3,33,7294,3,8,0,0,0
192,广东,7332,3,33,7291,2,8,0,0,0
193,广东,7329,2,32,7289,1,8,0,0,0
194,广东,7327,3,31,7288,1,8,0,0,0
195,广东,7324,4,29,7287,4,8,0,0,0
196,广东,7320,1,29,7283,2,8,0,0,0
197,广东,7319,3,30,7281,3,8,0,0,0
198,广东,7316,1,30,7278,6,8,0,0,0
199,广东,7315,4,35,7272,2,8,0,0,0
200,广东,7311,4,33,7270,3,8,0,0,0
201,广东,7307,2,32,7267,4,8,0,0,0
202,广东,7305,2,34,7263,4,8,0,0,0
203,广东,7303,2,36,7259,9,8,0,0,0
204,广东,7301,5,43,7250,8,8,0,0,0
205,广东,7296,4,46,7242,5,8,0,0,0
206,广东,7292,1,47,7237,10,8,0,0,0
207,广东,7291,2,56,7227,12,8,0,0,0
208,广东,7289,1,66,7215,6,8,0,0,0
209,广东,7288,4,71,7209,8,8,0,0,0
210,广东,7284,2,75,7201,17,8,0,0,0
211,广东,7282,2,90,7184,15,8,0,0,0
212,广东,7280,1,103,7169,4,8,0,1,0
213,广东,7279,1,106,7165,16,8,0,0,1
214,广东,7278,4,121,7149,13,8,0,2,0
215,广东,7274,3,130,7136,20,8,0,0,3
216,广东,7271,3,147,7116,13,8,0,1,1
217,广东,7268,2,157,7103,7,8,0,1,0
218,广东,7266,2,162,7096,19,8,0,0,0
219,广东,7264,7,179,7077,24,8,0,2,5
220,广东,7257,2,196,7053,15,8,0,0,1
221,广东,7255,8,209,7038,13,8,0,2,4
222,广东,7247,12,214,7025,11,8,0,3,11
223,广东,7235,5,213,7014,17,8,0,2,3
224,广东,7230,12,225,6997,6,8,0,10,10
225,广东,7218,17,219,6991,8,8,0,6,15
226,广东,7201,35,210,6983,9,8,0,12,28
227,广东,7166,22,184,6974,14,8,0,3,21
228,广东,7144,10,176,6960,10,8,0,1,8
229,广东,7134,15,176,6950,12,8,0,1,13
230,广东,7119,16,173,6938,11,8,0,6,13
231,广东,7103,12,168,6927,13,8,0,4,12
232,广东,7091,9,169,6914,20,8,0,5,7
233,广东,7082,28,180,6894,32,8,0,2,29
234,广东,7054,21,184,6862,13,8,0,7,21
235,广东,7033,29,176,6849,16,8,0,16,28
236,广东,7004,10,163,6833,19,8,0,7,7
237,广东,6994,1,172,6814,30,8,0,0,0
238,广东,6993,1,201,6784,35,8,0,0,0
239,广东,6992,6,235,6749,28,8,0,0,2
240,广东,6986,5,257,6721,17,8,0,0,3
241,广东,6981,9,269,6704,15,8,0,0,4
242,广东,6972,11,275,6689,17,8,0,2,8
243,广东,6961,6,281,6672,17,8,0,1,5
244,广东,6955,9,292,6655,12,8,0,4,8
245,广东,6946,15,295,6643,10,8,0,6,15
246,广东,6931,24,290,6633,12,8,0,5,20
247,广东,6907,28,278,6621,7,8,0,10,25
248,广东,6879,32,257,6614,8,8,0,11,29
249,广东,6847,26,233,6606,11,8,0,0,24
250,广东,6821,24,218,6595,11,8,0,0,22
251,广东,6797,48,205,6584,11,8,0,0,47
252,广东,6749,26,168,6573,24,8,0,0,22
253,广东,6723,20,166,6549,17,8,0,0,16
254,广东,6703,22,163,6532,16,8,0,0,19
255,广东,6681,17,157,6516,19,8,0,0,10
256,广东,6664,9,159,6497,21,8,0,0,5
257,广东,6655,12,171,6476,16,8,0,0,7
258,广东,6643,1,175,6460,31,8,0,0,0
259,广东,6642,13,205,6429,54,8,0,0,7
260,广东,6629,8,246,6375,64,8,0,0,3
261,广东,6621,13,302,6311,91,8,0,0,5
262,广东,6608,12,380,6220,66,8,0,0,2
263,广东,6596,4,434,6154,76,8,0,0,0
264,广东,6592,6,506,6078,84,8,0,0,4
265,广东,6586,14,584,5994,148,8,0,0,14
266,广东,6572,15,718,5846,87,8,0,0,2
267,广东,6557,11,790,5759,79,8,0,0,11
268,广东,6546,10,858,5680,60,8,0,0,4
269,广东,6536,10,908,5620,81,8,0,0,2
270,广东,6526,11,979,5539,67,8,0,0,4
271,广东,6515,15,1035,5472,83,8,0,0,4
272,广东,6500,16,1103,5389,36,8,0,0,8
273,广东,6484,23,1123,5353,69,8,0,0,15
274,广东,6461,37,1169,5284,129,8,0,0,25
275,广东,6424,45,1261,5155,152,8,0,0,38
276,广东,6379,73,1368,5003,97,8,0,0,51
277,广东,6306,65,1392,4906,380,8,0,0,47
278,广东,6241,89,1707,4526,156,8,0,0,74
279,广东,6152,104,1774,4370,90,8,0,0,83
280,广东,6048,80,1760,4280,54,8,0,0,59
281,广东,5968,68,1734,4226,35,8,0,0,48
282,广东,5900,121,1701,4191,26,8,0,0,79
283,广东,5779,96,1606,4165,48,8,0,0,62
284,广东,5683,63,1558,4117,27,8,0,0,33
285,广东,5620,62,1522,4090,0,8,0,0,11
286,广东,5558,50,1460,4090,56,8,0,0,17
287,广东,5508,46,1466,4034,33,8,0,0,7
288,广东,5462,92,1453,4001,17,8,0,0,45
289,广东,5370,120,1378,3984,21,8,0,0,69
290,广东,5250,92,1279,3963,16,8,0,0,20
